pitcher,k,team,ip,xfip,siera,KBB,K-BB%,stuff_plus
Cole Wilcox,cole wilcox,SEA,27.0,4.13,4.3,0.089,8.9%,99
Colin Rea,colin rea,CHC,124.2,4.71,4.66,0.089,8.9%,94
Tim Herrin,tim herrin,CLE,45.1,4.8,4.4,0.089,8.9%,100
Paul Gervase,paul gervase,LAD,7.2,4.53,4.47,0.088,8.8%,87
Yoendrys Gómez,yoendrys gmez,2 Tms,57.0,5.14,4.63,0.088,8.8%,113
Taylor Rogers,taylor rogers,MIN,47.2,5.0,4.49,0.088,8.8%,106
Bubba Chandler,bubba chandler,PIT,125.1,4.71,4.78,0.088,8.8%,103
Grant Holmes,grant holmes,ATL,123.2,4.57,4.74,0.087,8.7%,87
Robbie Ray,robbie ray,2 Tms,143.0,4.81,4.86,0.087,8.7%,94
Framber Valdez,framber valdez,DET,144.2,4.25,4.4,0.086,8.6%,102
Ryan Thompson,ryan thompson,ARI,40.2,4.25,4.09,0.086,8.6%,121
Tony Santillan,tony santillan,CIN,32.0,4.96,4.55,0.086,8.6%,92
Easton McGee,easton mcgee,2 Tms,7.1,4.87,4.44,0.086,8.6%,98
Ryan Yarbrough,ryan yarbrough,NYY,50.0,5.01,4.57,0.085,8.5%,100
Tyler Phillips,tyler phillips,MIA,100.2,4.45,4.56,0.085,8.5%,96
Seth Johnson,seth johnson,2 Tms,21.0,4.98,4.58,0.085,8.5%,110
Justin Lawrence,justin lawrence,3 Tms,34.1,5.09,4.55,0.085,8.5%,102
Eric Lauer,eric lauer,2 Tms,103.1,5.29,5.07,0.084,8.4%,89
Randy Vásquez,randy vsquez,SD,118.0,4.9,4.82,0.084,8.4%,97
Cody Bolton,cody bolton,HOU,20.0,4.87,4.69,0.084,8.4%,98
Adrian Houser,adrian houser,SF,108.0,4.59,4.64,0.084,8.4%,90
Rhett Lowder,rhett lowder,CIN,107.0,4.74,4.78,0.084,8.4%,86
Austin Hedges,austin hedges,CLE,2.2,3.47,3.55,0.083,8.3%,69
Tomoyuki Sugano,tomoyuki sugano,COL,121.2,4.77,4.92,0.083,8.3%,81
Nick Lodolo,nick lodolo,CIN,75.0,4.76,4.76,0.083,8.3%,105
Shane Bieber,shane bieber,TOR,55.2,4.62,4.78,0.083,8.3%,90
Albert Suárez,albert surez,BAL,55.0,4.77,4.62,0.083,8.3%,84
Jonathan Hernández,jonathan hernndez,LAD,25.1,4.62,4.48,0.083,8.3%,105
Cade Gibson,cade gibson,MIA,37.1,4.51,4.25,0.0819999999999999,8.2%,106
Carson Seymour,carson seymour,SF,16.1,4.54,4.36,0.0819999999999999,8.2%,106
Jeffrey Springs,jeffrey springs,OAK,118.1,5.08,4.98,0.0819999999999999,8.2%,97
John King,john king,MIA,49.2,4.64,4.4,0.081,8.1%,94
James Karinchak,james karinchak,ATL,9.2,5.33,4.89,0.081,8.1%,95
Ron Marinaccio,ron marinaccio,3 Tms,57.2,5.15,4.51,0.081,8.1%,94
Gavin Hollowell,gavin hollowell,CHC,14.1,5.68,5.13,0.081,8.1%,109
Erick Fedde,erick fedde,CWS,118.1,4.76,4.68,0.08,8.0%,89
Sam Hentges,sam hentges,SF,32.0,4.85,4.56,0.08,8.0%,97
Chayce McDermott,chayce mcdermott,2 Tms,5.2,5.93,5.74,0.08,8.0%,99
Matt Wilkinson,matt wilkinson,SF,5.2,6.11,6.02,0.08,8.0%,88
Jimmy Herget,jimmy herget,COL,38.2,5.16,4.68,0.08,8.0%,99
Eric Orze,eric orze,MIN,41.1,4.69,4.47,0.079,7.9%,96
Ronel Blanco,ronel blanco,HOU,23.1,4.98,4.85,0.079,7.9%,93
Chris Paddack,chris paddack,3 Tms,57.0,4.83,4.79,0.079,7.9%,89
Connor Seabold,connor seabold,3 Tms,24.0,5.25,4.52,0.078,7.8%,91
Martín Pérez,martn prez,ATL,115.1,4.31,4.71,0.078,7.8%,86
Eli Morgan,eli morgan,KC,19.1,5.17,4.62,0.077,7.7%,96
Taylor Rashi,taylor rashi,2 Tms,5.2,4.77,4.51,0.077,7.7%,85
Cade Horton,cade horton,CHC,7.1,3.84,4.38,0.077,7.7%,99
Ryan Weiss,ryan weiss,HOU,26.0,5.0,4.78,0.076,7.6%,102
Mason Barnett,mason barnett,OAK,40.2,5.18,4.8,0.076,7.6%,96
Shaun Anderson,shaun anderson,LAA,20.0,4.7,4.49,0.075,7.5%,86
Nate Pearson,nate pearson,2 Tms,32.2,4.75,4.55,0.075,7.5%,105
Khristian Curtis,khristian curtis,PIT,8.0,4.47,4.62,0.074,7.4%,93
Andrew Abbott,andrew abbott,CIN,145.1,4.82,4.97,0.073,7.3%,94
Clayton Beeter,clayton beeter,WSH,40.2,4.49,4.56,0.073,7.3%,101
Juan Mejia,juan mejia,COL,54.2,4.55,4.57,0.072,7.2%,97
Elieser Hernández,elieser hernndez,ATL,6.0,5.35,4.74,0.071,7.1%,93
Jason Alexander,jason alexander,HOU,18.1,4.84,4.75,0.071,7.1%,90
Noah Murdock,noah murdock,PIT,3.0,3.92,4.46,0.071,7.1%,105
Miles Mikolas,miles mikolas,WSH,116.0,4.72,4.77,0.07,7.0%,89
Keegan Akin,keegan akin,BAL,25.1,5.31,4.88,0.07,7.0%,100
Zach Agnos,zach agnos,COL,74.0,5.06,4.69,0.07,7.0%,90
Zach McCambley,zach mccambley,CIN,8.2,4.83,4.55,0.07,7.0%,98
Zac Gallen,zac gallen,ARI,98.0,4.79,4.93,0.068,6.8%,87
Andrew Hoffmann,andrew hoffmann,ARI,11.2,5.28,4.77,0.068,6.8%,91
Wandy Peralta,wandy peralta,SD,64.0,4.4,4.49,0.067,6.7%,100
Cole Irvin,cole irvin,LAD,6.0,4.93,4.52,0.067,6.7%,89
Yilber Díaz,yilber daz,2 Tms,1.2,6.71,4.89,0.067,6.7%,101
Brian Fitzpatrick,brian fitzpatrick,MIL,6.2,4.52,4.37,0.067,6.7%,99
JR Ritchie,jr ritchie,ATL,58.0,4.89,4.93,0.066,6.6%,94
Caleb Ferguson,caleb ferguson,2 Tms,30.0,4.44,4.55,0.066,6.6%,105
Tyler Davis,tyler davis,CWS,26.1,4.79,4.74,0.066,6.6%,103
John Schreiber,john schreiber,KC,47.1,4.56,4.6,0.066,6.6%,100
Scott Barlow,scott barlow,OAK,33.1,5.72,4.77,0.066,6.6%,92
Lucas Sims,lucas sims,CWS,10.0,5.0,4.78,0.065,6.5%,100
Chris Bassitt,chris bassitt,BAL,67.1,4.78,4.81,0.065,6.5%,97
Ryan Johnson,ryan johnson,LAA,67.1,5.4,5.17,0.064,6.4%,92
Joel Kuhnel,joel kuhnel,2 Tms,35.1,4.4,4.29,0.064,6.4%,97
Jayden Murray,jayden murray,2 Tms,16.1,5.71,5.03,0.063,6.3%,95
Justin Bruihl,justin bruihl,STL,64.2,4.74,4.44,0.063,6.3%,101
Zack Littell,zack littell,2 Tms,124.1,5.26,5.08,0.063,6.3%,83
José Buttó,jos butt,SF,2.0,7.11,5.51,0.063,6.3%,92
Lyon Richardson,lyon richardson,2 Tms,3.1,5.64,4.98,0.063,6.3%,87
Matt Pushard,matt pushard,STL,7.0,5.24,4.77,0.063,6.3%,96
Jacob Waguespack,jacob waguespack,DET,29.0,4.77,4.68,0.062,6.2%,92
Ryan Feltner,ryan feltner,COL,97.2,4.98,5.08,0.062,6.2%,92
Peyton Pallette,peyton pallette,CLE,20.2,5.18,4.87,0.062,6.2%,92
Jose Cabrera,jose cabrera,ARI,17.2,5.39,5.16,0.062,6.2%,88
Luinder Avila,luinder avila,KC,70.0,4.78,4.97,0.061,6.1%,100
Josh Ekness,josh ekness,MIA,16.0,5.19,4.85,0.061,6.1%,118
Hoby Milner,hoby milner,CHC,35.2,4.78,4.67,0.06,6.0%,106
Max Scherzer,max scherzer,TOR,45.0,5.58,5.31,0.059,5.9%,93
Brant Hurter,brant hurter,DET,25.1,4.04,4.2,0.059,5.9%,118
Yunior Tur,yunior tur,OAK,4.2,7.61,5.09,0.059,5.9%,102
Michael Lorenzen,michael lorenzen,COL,115.2,4.92,5.0,0.059,5.9%,87
Zak Kent,zak kent,2 Tms,14.1,5.44,4.84,0.0579999999999999,5.8%,93
Ryan Borucki,ryan borucki,SF,23.2,5.06,4.71,0.0579999999999999,5.8%,98
Max Lazar,max lazar,PHI,8.0,4.85,4.6,0.057,5.7%,96
Kody Funderburk,kody funderburk,MIN,40.2,4.33,4.49,0.057,5.7%,103
Yerry De los Santos,yerry de los santos,NYY,16.2,4.66,4.62,0.0559999999999999,5.6%,95
Trent Thornton,trent thornton,CHC,41.2,4.64,4.67,0.0559999999999999,5.6%,97
Julian Fernández,julian fernndez,WSH,4.0,6.48,5.68,0.0559999999999999,5.6%,91
Trevor Martin,trevor martin,TB,11.1,5.84,4.89,0.0559999999999999,5.6%,102
Ethan Pecko,ethan pecko,HOU,3.2,7.06,5.95,0.0559999999999999,5.6%,100
Germán Márquez,germn mrquez,SD,53.0,5.38,5.2,0.055,5.5%,87
Carlos Carrasco,carlos carrasco,ATL,16.2,4.69,4.73,0.055,5.5%,82
Tim Hill,tim hill,NYY,49.0,4.31,3.79,0.054,5.4%,127
Taijuan Walker,taijuan walker,PHI,22.2,5.51,5.15,0.052,5.2%,89
JT Brubaker,jt brubaker,SF,60.1,4.99,4.85,0.052,5.2%,90
Max Rajcic,max rajcic,STL,9.0,5.49,5.06,0.051,5.1%,97
Alimber Santa,alimber santa,HOU,15.1,4.56,4.68,0.051,5.1%,103
Luke Murphy,luke murphy,LAA,10.1,5.13,5.06,0.05,5.0%,93
AJ Smith-Shawver,aj smithshawver,ATL,8.2,4.94,5.23,0.05,5.0%,103
Jackson Kent,jackson kent,WSH,12.1,4.59,5.3,0.049,4.9%,86
Ken Waldichuk,ken waldichuk,WSH,9.1,5.56,5.04,0.049,4.9%,99
Nick Mears,nick mears,KC,19.1,4.73,4.84,0.048,4.8%,100
Chris Roycroft,chris roycroft,2 Tms,24.2,4.74,4.42,0.048,4.8%,100
Tyler Schweitzer,tyler schweitzer,CWS,29.2,5.11,4.97,0.048,4.8%,98
Bruce Zimmermann,bruce zimmermann,STL,5.0,5.6,5.34,0.048,4.8%,81
Anthony Molina,anthony molina,ATL,5.0,4.09,4.15,0.048,4.8%,99
Merrill Kelly,merrill kelly,ARI,134.2,5.06,5.27,0.047,4.7%,89
Coleman Crow,coleman crow,MIL,18.2,5.65,5.4,0.047,4.7%,101
Randy Dobnak,randy dobnak,KC,45.2,4.35,4.79,0.046,4.6%,82
Ryan Walker,ryan walker,SF,28.1,5.0,4.84,0.045,4.5%,106
Tyler Rogers,tyler rogers,TOR,59.1,4.25,4.08,0.045,4.5%,137
Xzavion Curry,xzavion curry,NYM,16.0,6.17,5.65,0.045,4.5%,85
Sean Sullivan,sean sullivan,COL,22.1,6.92,6.11,0.044,4.4%,81
Kent Emanuel,kent emanuel,CIN,5.0,6.0,5.47,0.043,4.3%,87
Ian Hamilton,ian hamilton,ATL,4.2,3.95,3.93,0.043,4.3%,94
Chase Petty,chase petty,CIN,31.2,5.52,5.22,0.043,4.3%,100
Richard Lovelady,richard lovelady,2 Tms,30.1,5.07,5.06,0.0409999999999999,4.1%,95
Shane Smith,shane smith,CWS,8.1,5.86,5.54,0.0409999999999999,4.1%,98
Marco Raya,marco raya,MIN,6.0,4.76,4.92,0.04,4.0%,89
Matt Gage,matt gage,SF,27.1,5.27,5.04,0.04,4.0%,94
Mike Paredes,mike paredes,MIN,34.1,5.44,5.3,0.039,3.9%,94
Kyle Finnegan,kyle finnegan,DET,53.1,5.08,5.0,0.039,3.9%,98
Jack Kochanowicz,jack kochanowicz,LAA,64.0,4.98,5.08,0.037,3.7%,95
Peter Strzelecki,peter strzelecki,STL,13.2,5.7,5.3,0.037,3.7%,96
Angel Zerpa,angel zerpa,MIL,12.2,4.32,4.48,0.036,3.6%,107
Victor Vodnik,victor vodnik,2 Tms,43.0,4.72,4.59,0.036,3.6%,101
Ben Peoples,ben peoples,TEX,14.1,5.33,5.06,0.035,3.5%,103
Dax Fulton,dax fulton,MIA,14.0,4.38,4.79,0.035,3.5%,109
Drey Jameson,drey jameson,ARI,19.1,5.17,5.09,0.035,3.5%,96
Jefry Yan,jefry yan,NYM,6.1,5.15,5.35,0.033,3.3%,118
Sam Aldegheri,sam aldegheri,LAA,33.2,5.72,5.54,0.033,3.3%,90
Brenan Hanifee,brenan hanifee,DET,21.1,4.62,4.44,0.032,3.2%,104
Gordon Graceffo,gordon graceffo,STL,63.1,5.19,5.08,0.032,3.2%,92
Trey Gibson,trey gibson,BAL,33.0,4.87,5.33,0.031,3.1%,97
Danny Young,danny young,ATL,12.1,6.14,5.41,0.031,3.1%,109
Carson Whisenhunt,carson whisenhunt,SF,34.2,5.62,5.6,0.03,3.0%,94
Zach Maxwell,zach maxwell,CIN,13.0,6.34,5.46,0.03,3.0%,110
Kade Morris,kade morris,OAK,12.2,5.03,4.69,0.03,3.0%,94
Dietrich Enns,dietrich enns,BAL,16.0,5.69,5.41,0.0289999999999999,2.9%,100
Gavin Collyer,gavin collyer,TEX,23.0,6.14,5.37,0.0289999999999999,2.9%,115
Antwone Kelly,antwone kelly,PIT,8.1,4.78,4.87,0.0279999999999999,2.8%,116
Ethan Roberts,ethan roberts,CHC,25.2,5.28,5.06,0.027,2.7%,96
PJ Poulin,pj poulin,WSH,36.2,5.29,5.34,0.026,2.6%,94
Nick Sandlin,nick sandlin,LAA,8.2,6.39,5.23,0.025,2.5%,99
George Klassen,george klassen,LAA,27.0,5.15,5.58,0.024,2.4%,99
Aaron Bummer,aaron bummer,2 Tms,16.2,6.04,5.24,0.023,2.3%,104
Codi Heuer,codi heuer,CLE,9.2,5.74,5.24,0.022,2.2%,98
Joel Peguero,joel peguero,SF,11.1,5.52,4.99,0.021,2.1%,100
Valente Bellozo,valente bellozo,COL,10.2,6.24,5.64,0.021,2.1%,86
Cameron Foster,cameron foster,BAL,9.0,5.26,5.19,0.02,2.0%,102
Connor Thomas,connor thomas,2 Tms,9.1,6.26,5.22,0.019,1.9%,90
Joe Rock,joe rock,CWS,10.1,6.29,5.64,0.019,1.9%,98
Nick Davila,nick davila,SEA,26.1,5.24,5.04,0.018,1.8%,93
Joe Ross,joe ross,2 Tms,11.2,5.76,5.3,0.018,1.8%,90
Mitch Bratt,mitch bratt,ARI,39.2,6.0,6.0,0.017,1.7%,89
Jose Quintana,jose quintana,COL,41.0,5.9,5.9,0.017,1.7%,81
Tristan Beck,tristan beck,SF,14.0,5.67,5.23,0.016,1.6%,95
Max Kranick,max kranick,WSH,13.2,6.14,5.53,0.015,1.5%,93
Simeon Woods Richardson,simeon woods richardson,2 Tms,65.0,5.75,5.69,0.0139999999999999,1.4%,87
Osvaldo Bido,osvaldo bido,2 Tms,18.2,6.26,5.57,0.012,1.2%,99
Hunter Barco,hunter barco,PIT,17.2,5.93,5.39,0.011,1.1%,103
