pitcher,k,team,ip,xfip,siera,KBB,K-BB%,stuff_plus
Carlos Duran,carlos duran,KC,1.1,8.34,8.82,-0.222,-22.2%,93
Blake Adams,blake adams,COL,1.0,15.13,10.1,-0.222,-22.2%,86
Ben Bowden,ben bowden,OAK,1.0,15.11,9.92,-0.25,-25.0%,84
Carlos Estévez,carlos estvez,KC,0.1,30.15,11.17,-0.286,-28.6%,80
Kade Strowd,kade strowd,ARI,1.0,11.6,12.07,-0.286,-28.6%,96
Zach McKinstry,zach mckinstry,DET,1.0,15.11,12.75,-0.375,-37.5%,6
Josh White,josh white,MIA,0.2,27.12,14.7,-0.375,-37.5%,83
Orlando Arcia,orlando arcia,MIN,1.0,10.6,13.16,-0.4,-40.0%,41
Aaron Brooks,aaron brooks,TB,0.1,30.15,17.84,-0.5,-50.0%,81
Tanner McDougal,tanner mcdougal,CWS,0.1,39.09,20.13,-0.6,-60.0%,81
Jonathan Cannon,jonathan cannon,CWS,0.0,12.09,,-1.0,-100.0%,93
